"Ha tudnék repülni, Párizsba mennék.","Om jag kunde flyga, skulle jag åka till Paris."
"Ha gazdag lennék, nagy házat vennék.","Om jag vore rik, skulle jag köpa ett stort hus."
"Ha esne az eső, otthon maradnék.","Om det regnade, skulle jag stanna hemma."
"Ha időm lenne, könyvet olvasnék.","Om jag hade tid, skulle jag läsa en bok."
"Ha éhes lennél, ennél valamit.","Om du vore hungrig, skulle du äta något."
"Ha tudná a választ, megmondaná.","Om hen visste svaret, skulle hen säga det."
"Ha korán kelnél, elkapnád a buszt.","Om du steg upp tidigt, skulle du hinna med bussen."
"Ha szép idő lenne, parkba mennénk.","Om det vore fint väder, skulle vi gå till parken."
"Ha dolgoznának, több pénzt keresnének.","Om de arbetade, skulle de tjäna mer pengar."
"Ha fáradt lennék, korán lefekdnék.","Om jag vore trött, skulle jag lägga mig tidigt."
"Ha megtanulnám, jobban beszélnék.","Om jag lärde mig det, skulle jag tala bättre."
"Ha autóm lenne, messzire mennék.","Om jag hade en bil, skulle jag åka långt bort."
