"Minél többet edzel, annál jobb leszel.","Ju mer du tränar, desto bättre blir du."
"Minél korábban kezded, annál többet érsz el.","Ju tidigare du börjar, desto mer hinner du."
"Minél tovább vársz, annál nehezebb lesz.","Ju längre du väntar, desto svårare blir det."
"Minél több könyvet olvasol, annál okosabb leszel.","Ju fler böcker du läser, desto klokare blir du."
"Minél gyorsabban megyünk, annál hamarabb érünk oda.","Ju fortare vi går, desto snabbare är vi framme."
"Minél többet mosolyogsz, annál boldogabb leszel.","Ju mer du ler, desto lyckligare mår du."
"Minél drágább a bor, annál jobb az íze.","Ju dyrare vinet är, desto bättre smakar det."
"Minél többet esik az eső, annál zöldebb lesz a fű.","Ju mer det regnar, desto grönare blir gräset."
"Minél több pénze van valakinek, annál többet akar.","Ju mer pengar man har, desto mer vill man ha."
"Minél idősebb leszek, annál gyorsabban telik az idő.","Ju äldre jag blir, desto snabbare går tiden."
"Minél hangosabb a zene, annál nehezebb koncentrálni.","Ju högre musiken är, desto svårare är det att koncentrera sig."
"Minél kevesebbet alszol, annál fáradtabb leszel.","Ju mindre du sover, desto tröttare blir du."
