"Azt tudod, ez az én könyvem.","Det är ju min bok."
"Hiszen már megbeszéltük ezt.","Vi har ju redan pratat om det."
"Persze, Stockholm a főváros.","Stockholm är ju huvudstaden."
"Valószínűleg esni fog.","Det regnar nog."
"Biztosan minden rendben lesz.","Det blir nog bra."
"Szerintem tudja a választ.","Hon vet nog svaret."
"Fáradt volt, de mégis segített.","Hon var trött men hjälpte dock till."
"Nem könnyű, de mégis lehetséges.","Det är svårt men dock möjligt."
"Nem akartam, de mégis elmentem.","Jag ville inte men gick dock."
"Ugye eljössz holnap?","Du kommer väl imorgon?"
"Nem felejtetted el ugye?","Du har väl inte glömt det?"
"Gondolom, te is tudod ezt.","Du vet väl det här?"
